"date","price"
"28.10.2021",50556.63572895939
"29.10.2021",52002.50436352095
"30.10.2021",53873.09782238894
"31.10.2021",53487.37218986673
"01.11.2021",53178.45280097745
"02.11.2021",52688.79102842295
"03.11.2021",54624.71696358728
"04.11.2021",54360.79184021504
"05.11.2021",53315.56984068622
"06.11.2021",53021.12617582402
"07.11.2021",53379.49825887872
"08.11.2021",54588.325961012066
"09.11.2021",58358.42045735038
"10.11.2021",57914.295934630776
"11.11.2021",56635.64786126113
"12.11.2021",56786.13636865565
"13.11.2021",56302.785321924544
"14.11.2021",56502.27016189728
"15.11.2021",57377.20658942357
"16.11.2021",56257.04408566471
"17.11.2021",53407.81619393269
"18.11.2021",53543.87539173877
"19.11.2021",50120.349996755154
"20.11.2021",51792.97123234165
"21.11.2021",53231.47700213251
"22.11.2021",52442.84981369288
"23.11.2021",50150.63964576414
"24.11.2021",51358.946957902095
"25.11.2021",51049.32188463475
"26.11.2021",52548.07009976099
"27.11.2021",47551.04159462869
"28.11.2021",48174.372722504864
"29.11.2021",50701.97880015172
"30.11.2021",51223.98984043126
"01.12.2021",50310.23157858034
"02.12.2021",50506.910551023844
"03.12.2021",49974.160510668
"04.12.2021",47537.22107822653
"05.12.2021",43452.36627055587
"06.12.2021",43584.415787737744
"07.12.2021",44721.77431769078
"08.12.2021",44927.87083488738
"09.12.2021",44540.22385241009
"10.12.2021",42404.08890755657
"11.12.2021",41793.12466052318
"12.12.2021",43511.77863340992
"13.12.2021",44253.81209678298
"14.12.2021",41388.14895905966
"15.12.2021",42995.310483289984
"16.12.2021",43340.68766182639
"17.12.2021",42082.02893086878
"18.12.2021",41217.158638052446
"19.12.2021",41788.32035689083
"20.12.2021",41634.77613021395
"21.12.2021",41783.36287549383
"22.12.2021",43541.433860598554
"23.12.2021",43045.84892569251
"24.12.2021",44939.3894297034
"25.12.2021",44944.76575352705
"26.12.2021",44745.83981814187
"27.12.2021",44908.059189479805
"28.12.2021",44818.168111937994
"29.12.2021",42181.44257440689
"30.12.2021",40960.337931023954
"31.12.2021",41672.35465483228
"01.01.2022",40724.329875917916
"02.01.2022",42039.991125253684
"03.01.2022",41678.04823294517
"04.01.2022",41182.38621861256
"05.01.2022",40712.02275452388
"06.01.2022",38583.9474556897
"07.01.2022",38256.89466270997
"08.01.2022",36548.87513397554
"09.01.2022",36754.38120421491
"10.01.2022",36877.3491771193
"11.01.2022",36950.15061656012
"12.01.2022",37634.14971670083
"13.01.2022",38443.019605976486
"14.01.2022",37184.9985435791
"15.01.2022",37774.601606233235
"16.01.2022",37867.28048940748
"17.01.2022",37793.20421964552
"18.01.2022",37075.17276239649
"19.01.2022",37421.411588852076
"20.01.2022",36804.81805860254
"21.01.2022",35990.191222362555
"22.01.2022",32181.22920674321
"23.01.2022",31010.322545243864
"24.01.2022",32010.163092146187
"25.01.2022",32475.015385290793
"26.01.2022",32723.735164102294
"27.01.2022",32807.24391965484
"28.01.2022",33451.63939007328
"29.01.2022",33950.318803453716
"30.01.2022",34290.78519449822
"31.01.2022",34072.444204179075
"01.02.2022",34331.69854991698
"02.02.2022",34449.74689911461
"03.02.2022",32740.31936392339
"04.02.2022",32442.868786314128
"05.02.2022",36399.056660401795
"06.02.2022",36241.7092200966
"07.02.2022",37089.68681607784
"08.02.2022",38378.15280815121
"09.02.2022",38685.33954326799
"10.02.2022",38856.54055643573
"11.02.2022",38228.37195871204
"12.02.2022",37393.5385967781
"13.02.2022",37227.86094766816
"14.02.2022",37171.12474594334
"15.02.2022",37706.01705427157
"16.02.2022",39246.57490474962
"17.02.2022",38743.96258183267
"18.02.2022",35684.43594638543
"19.02.2022",35394.19345589656
"20.02.2022",35499.53102434018
"21.02.2022",34031.786736787326
"22.02.2022",32780.18180097314
"23.02.2022",33839.29141309584
"24.02.2022",33059.642221913615
"25.02.2022",34280.52644494906
"26.02.2022",34873.31781273593
"27.02.2022",34679.02920138296
"28.02.2022",33811.757861046884
"01.03.2022",38535.707622362024
"02.03.2022",39946.94307752749
"03.03.2022",39565.57212941758
"04.03.2022",38398.76860670511
"05.03.2022",35864.04062567888
"06.03.2022",36114.42256250789
"07.03.2022",35379.162189723094
"08.03.2022",35045.109919828006
"09.03.2022",35547.850136570734
"10.03.2022",37916.034224976975
"11.03.2022",35846.10704535494
"12.03.2022",35527.90973358008
"13.03.2022",35645.6648281346
"14.03.2022",34612.61395666388
"15.03.2022",36250.752537309745
"16.03.2022",35862.77767571413
"17.03.2022",37351.84480113969
"18.03.2022",36949.05960161877
"19.03.2022",37809.892724835314
"20.03.2022",38139.327972283274
"21.03.2022",37381.53690959784
"22.03.2022",37265.15827267271
"23.03.2022",38448.59726335312
"24.03.2022",38891.45024076582
"25.03.2022",39912.780030151276
"26.03.2022",40361.867241009044
"27.03.2022",40521.515293772805
"28.03.2022",42535.70290565289
"29.03.2022",42737.143070234335
"30.03.2022",42784.61892416393
"31.03.2022",42171.36428668906
"01.04.2022",41115.11100574884
"02.04.2022",41879.15865886829
"03.04.2022",41504.881920695625
"04.04.2022",42050.7687605945
"05.04.2022",42485.99573681132
"06.04.2022",41838.58457674535
"07.04.2022",39639.887367573596
"08.04.2022",40058.4373266059
"09.04.2022",38905.61362467247
"10.04.2022",39347.56419454134
"11.04.2022",38835.92820550051
"12.04.2022",36410.26180487428
"13.04.2022",37138.065125210036
"14.04.2022",37820.205313940205
"15.04.2022",36934.44624999378
"16.04.2022",37538.8279576329
"17.04.2022",37412.83897225637
"18.04.2022",36747.319923898205
"19.04.2022",37875.02563885304
"20.04.2022",38450.16834923322
"21.04.2022",38162.027696980214
"22.04.2022",37404.43939479423
"23.04.2022",36857.30248267918
"24.04.2022",36676.46043788396
"25.04.2022",36519.212013396675
"26.04.2022",37792.3996260646
"27.04.2022",35823.58706810112
"28.04.2022",37171.75738231169
"29.04.2022",37838.21550700867
"30.04.2022",36657.49586967173
"01.05.2022",35870.35409900302
